audit_id,auditor_labels,adjudicated_label_semantic,adjudicated_label_answerable,adjudication_notes
hpsem-00001,auditor1=:; auditor2=:,,,
hpsem-00116,auditor1=:; auditor2=:,,,
hpsem-00117,auditor1=:; auditor2=:,,,
hpsem-00118,auditor1=:; auditor2=:,,,
hpsem-00119,auditor1=:; auditor2=:,,,
hpsem-00120,auditor1=:; auditor2=:,,,
hpsem-00121,auditor1=:; auditor2=:,,,
hpsem-00122,auditor1=:; auditor2=:,,,
hpsem-00123,auditor1=:; auditor2=:,,,
hpsem-00124,auditor1=:; auditor2=:,,,
hpsem-00125,auditor1=:; auditor2=:,,,
hpsem-00126,auditor1=:; auditor2=:,,,
hpsem-00127,auditor1=:; auditor2=:,,,
hpsem-00128,auditor1=:; auditor2=:,,,
hpsem-00129,auditor1=:; auditor2=:,,,
hpsem-00130,auditor1=:; auditor2=:,,,
hpsem-00131,auditor1=:; auditor2=:,,,
hpsem-00132,auditor1=:; auditor2=:,,,
hpsem-00133,auditor1=:; auditor2=:,,,
hpsem-00134,auditor1=:; auditor2=:,,,
hpsem-00135,auditor1=:; auditor2=:,,,
hpsem-00136,auditor1=:; auditor2=:,,,
hpsem-00137,auditor1=:; auditor2=:,,,
hpsem-00138,auditor1=:; auditor2=:,,,
hpsem-00139,auditor1=:; auditor2=:,,,
hpsem-00140,auditor1=:; auditor2=:,,,
hpsem-00141,auditor1=:; auditor2=:,,,
hpsem-00142,auditor1=:; auditor2=:,,,
hpsem-00143,auditor1=:; auditor2=:,,,
hpsem-00144,auditor1=:; auditor2=:,,,
hpsem-00145,auditor1=:; auditor2=:,,,
hpsem-00146,auditor1=:; auditor2=:,,,
hpsem-00147,auditor1=:; auditor2=:,,,
hpsem-00148,auditor1=:; auditor2=:,,,
hpsem-00149,auditor1=:; auditor2=:,,,
hpsem-00150,auditor1=:; auditor2=:,,,
hpsem-00151,auditor1=:; auditor2=:,,,
hpsem-00152,auditor1=:; auditor2=:,,,
hpsem-00153,auditor1=:; auditor2=:,,,
hpsem-00154,auditor1=:; auditor2=:,,,
hpsem-00155,auditor1=:; auditor2=:,,,
hpsem-00156,auditor1=:; auditor2=:,,,
hpsem-00157,auditor1=:; auditor2=:,,,
hpsem-00158,auditor1=:; auditor2=:,,,
hpsem-00159,auditor1=:; auditor2=:,,,
hpsem-00160,auditor1=:; auditor2=:,,,
hpsem-00161,auditor1=:; auditor2=:,,,
hpsem-00162,auditor1=:; auditor2=:,,,
hpsem-00163,auditor1=:; auditor2=:,,,
hpsem-00164,auditor1=:; auditor2=:,,,
hpsem-00165,auditor1=:; auditor2=:,,,
hpsem-00166,auditor1=:; auditor2=:,,,
hpsem-00167,auditor1=:; auditor2=:,,,
hpsem-00168,auditor1=:; auditor2=:,,,
hpsem-00169,auditor1=:; auditor2=:,,,
hpsem-00170,auditor1=:; auditor2=:,,,
hpsem-00171,auditor1=:; auditor2=:,,,
hpsem-00172,auditor1=:; auditor2=:,,,
hpsem-00173,auditor1=:; auditor2=:,,,
hpsem-00174,auditor1=:; auditor2=:,,,
hpsem-00175,auditor1=:; auditor2=:,,,
hpsem-00176,auditor1=:; auditor2=:,,,
hpsem-00177,auditor1=:; auditor2=:,,,
hpsem-00178,auditor1=:; auditor2=:,,,
hpsem-00179,auditor1=:; auditor2=:,,,
hpsem-00180,auditor1=:; auditor2=:,,,
hpsem-00181,auditor1=:; auditor2=:,,,
hpsem-00182,auditor1=:; auditor2=:,,,
hpsem-00183,auditor1=:; auditor2=:,,,
hpsem-00184,auditor1=:; auditor2=:,,,
hpsem-00185,auditor1=:; auditor2=:,,,
hpsem-00186,auditor1=:; auditor2=:,,,
hpsem-00187,auditor1=:; auditor2=:,,,
hpsem-00188,auditor1=:; auditor2=:,,,
hpsem-00189,auditor1=:; auditor2=:,,,
hpsem-00190,auditor1=:; auditor2=:,,,
hpsem-00191,auditor1=:; auditor2=:,,,
hpsem-00192,auditor1=:; auditor2=:,,,
hpsem-00193,auditor1=:; auditor2=:,,,
hpsem-00194,auditor1=:; auditor2=:,,,
hpsem-00195,auditor1=:; auditor2=:,,,
hpsem-00196,auditor1=:; auditor2=:,,,
hpsem-00197,auditor1=:; auditor2=:,,,
hpsem-00198,auditor1=:; auditor2=:,,,
hpsem-00199,auditor1=:; auditor2=:,,,
hpsem-00200,auditor1=:; auditor2=:,,,
