audit_id,auditor_labels,adjudicated_label_answerable,adjudication_notes
fever-v4-n100-00001,auditor1=:; auditor2=:,,
fever-v4-n100-00050,auditor1=:; auditor2=:,,
fever-v4-n100-00051,auditor1=:; auditor2=:,,
fever-v4-n100-00052,auditor1=:; auditor2=:,,
fever-v4-n100-00053,auditor1=:; auditor2=:,,
fever-v4-n100-00054,auditor1=:; auditor2=:,,
fever-v4-n100-00055,auditor1=:; auditor2=:,,
fever-v4-n100-00056,auditor1=:; auditor2=:,,
fever-v4-n100-00057,auditor1=:; auditor2=:,,
fever-v4-n100-00058,auditor1=:; auditor2=:,,
fever-v4-n100-00059,auditor1=:; auditor2=:,,
fever-v4-n100-00060,auditor1=:; auditor2=:,,
fever-v4-n100-00061,auditor1=:; auditor2=:,,
fever-v4-n100-00062,auditor1=:; auditor2=:,,
fever-v4-n100-00063,auditor1=:; auditor2=:,,
fever-v4-n100-00064,auditor1=:; auditor2=:,,
fever-v4-n100-00065,auditor1=:; auditor2=:,,
fever-v4-n100-00066,auditor1=:; auditor2=:,,
fever-v4-n100-00067,auditor1=:; auditor2=:,,
fever-v4-n100-00068,auditor1=:; auditor2=:,,
fever-v4-n100-00069,auditor1=:; auditor2=:,,
fever-v4-n100-00070,auditor1=:; auditor2=:,,
fever-v4-n100-00071,auditor1=:; auditor2=:,,
fever-v4-n100-00072,auditor1=:; auditor2=:,,
fever-v4-n100-00073,auditor1=:; auditor2=:,,
fever-v4-n100-00074,auditor1=:; auditor2=:,,
fever-v4-n100-00075,auditor1=:; auditor2=:,,
fever-v4-n100-00076,auditor1=:; auditor2=:,,
fever-v4-n100-00077,auditor1=:; auditor2=:,,
fever-v4-n100-00078,auditor1=:; auditor2=:,,
fever-v4-n100-00079,auditor1=:; auditor2=:,,
fever-v4-n100-00080,auditor1=:; auditor2=:,,
fever-v4-n100-00081,auditor1=:; auditor2=:,,
fever-v4-n100-00082,auditor1=:; auditor2=:,,
fever-v4-n100-00083,auditor1=:; auditor2=:,,
fever-v4-n100-00084,auditor1=:; auditor2=:,,
fever-v4-n100-00085,auditor1=:; auditor2=:,,
fever-v4-n100-00086,auditor1=:; auditor2=:,,
fever-v4-n100-00087,auditor1=:; auditor2=:,,
fever-v4-n100-00088,auditor1=:; auditor2=:,,
fever-v4-n100-00089,auditor1=:; auditor2=:,,
fever-v4-n100-00090,auditor1=:; auditor2=:,,
fever-v4-n100-00091,auditor1=:; auditor2=:,,
fever-v4-n100-00092,auditor1=:; auditor2=:,,
fever-v4-n100-00093,auditor1=:; auditor2=:,,
fever-v4-n100-00094,auditor1=:; auditor2=:,,
fever-v4-n100-00095,auditor1=:; auditor2=:,,
fever-v4-n100-00096,auditor1=:; auditor2=:,,
fever-v4-n100-00097,auditor1=:; auditor2=:,,
fever-v4-n100-00098,auditor1=:; auditor2=:,,
fever-v4-n100-00099,auditor1=:; auditor2=:,,
fever-v4-n100-00100,auditor1=:; auditor2=:,,
